blend,models,weights,fold_1_rmse,fold_2_rmse,fold_3_rmse,fold_4_rmse,fold_5_rmse,mean_rmse,std_rmse
Triple_ItemCFb_MF_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned+UserCF_tuned,0.30+0.40+0.30,16.878549,16.961254,16.957167,16.892587,16.881096,16.914131,0.037133
Pair_ItemCFb_MF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned,0.54+0.46,16.899837,16.966489,16.945012,16.892404,16.867793,16.914307,0.036106
Pair_ItemCFb_MF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned,0.65+0.35,16.897975,16.969472,16.941344,16.895241,16.867665,16.914339,0.036276
Triple_ItemCFb_MF_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned+UserCF_tuned,0.65+0.35+0.00,16.897975,16.969472,16.941344,16.895241,16.867665,16.914339,0.036276
Triple_ItemCF_MFb_UserCF,ItemCF_tuned+MF_tuned_baseline_ru6_ri10+UserCF_tuned,0.35+0.35+0.30,16.877480,16.963111,16.958496,16.895766,16.879753,16.914921,0.038017
Triple_ItemCF_MFb_UserCF,ItemCF_tuned+MF_tuned_baseline_ru6_ri10+UserCF_tuned,0.40+0.30+0.30,16.875763,16.963768,16.957877,16.897497,16.879713,16.914923,0.038230
Pair_ItemCFb_MF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned,0.53+0.47,16.900706,16.966958,16.946082,16.892850,16.868532,16.915026,0.036111
Pair_ItemCFb_MF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned,0.66+0.34,16.898516,16.970488,16.941728,16.896181,16.868363,16.915055,0.036316
Triple_ItemCF_MF_UserCF,ItemCF_tuned+MF_tuned+UserCF_tuned,0.40+0.50+0.10,16.891039,16.961820,16.957045,16.892497,16.873060,16.915092,0.036876
Triple_ItemCFb_MFb_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned_baseline_ru6_ri10+UserCF_tuned,0.25+0.55+0.20,16.893236,16.964243,16.955312,16.888376,16.875996,16.915433,0.036750
Pair_ItemCFb_MF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned,0.52+0.48,16.901697,16.967552,16.947280,16.893416,16.869402,16.915869,0.036117
Triple_ItemCFb_MF_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned+UserCF_tuned,0.40+0.55+0.05,16.899618,16.964785,16.952347,16.890660,16.871945,16.915871,0.036200
Pair_ItemCFb_MF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned,0.67+0.33,16.899180,16.971618,16.942239,16.897241,16.869190,16.915893,0.036353
Triple_ItemCF_MFb_UserCF,ItemCF_tuned+MF_tuned_baseline_ru6_ri10+UserCF_tuned,0.60+0.20+0.20,16.879233,16.968822,16.954092,16.901028,16.876605,16.915956,0.038391
Triple_ItemCFb_MFb_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned_baseline_ru6_ri10+UserCF_tuned,0.40+0.55+0.05,16.904257,16.967886,16.948683,16.890503,16.869270,16.916120,0.036693
Triple_ItemCF_MFb_UserCF,ItemCF_tuned+MF_tuned_baseline_ru6_ri10+UserCF_tuned,0.55+0.40+0.05,16.895049,16.967905,16.951372,16.896543,16.869865,16.916147,0.037125
Triple_ItemCF_MFb_UserCF,ItemCF_tuned+MF_tuned_baseline_ru6_ri10+UserCF_tuned,0.50+0.45+0.05,16.896888,16.967031,16.952203,16.895275,16.869726,16.916225,0.037015
