blend,models,weights,fold_1_rmse,fold_2_rmse,fold_3_rmse,fold_4_rmse,fold_5_rmse,mean_rmse,std_rmse
Triple_ItemCFb_MF_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned+UserCF_tuned,0.35+0.40+0.25,16.868584,16.948683,16.941148,16.878822,16.864830,16.900414,0.036701
Triple_ItemCFb_MFb_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned_baseline_ru6_ri10+UserCF_tuned,0.35+0.50+0.15,16.880906,16.951231,16.936424,16.875551,16.858228,16.900468,0.036490
Triple_ItemCF_MFb_UserCF,ItemCF_tuned+MF_tuned_baseline_ru6_ri10+UserCF_tuned,0.45+0.40+0.15,16.874075,16.950639,16.939501,16.880386,16.858411,16.900602,0.037173
Triple_ItemCF_MFb_UserCF,ItemCF_tuned+MF_tuned_baseline_ru6_ri10+UserCF_tuned,0.40+0.40+0.20,16.871482,16.950153,16.941664,16.880416,16.861003,16.900944,0.037321
Triple_ItemCF_MFb_UserCF,ItemCF_tuned+MF_tuned_baseline_ru6_ri10+UserCF_tuned,0.50+0.35+0.15,16.872869,16.952014,16.939367,16.882296,16.859095,16.901128,0.037340
Triple_ItemCFb_MFb_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned_baseline_ru6_ri10+UserCF_tuned,0.65+0.25+0.10,16.879492,16.958127,16.928601,16.883896,16.857558,16.901535,0.036514
Triple_ItemCFb_MF_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned+UserCF_tuned,0.55+0.20+0.25,16.866817,16.954505,16.936232,16.885666,16.865151,16.901674,0.036853
Triple_ItemCFb_MF_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned+UserCF_tuned,0.50+0.45+0.05,16.884165,16.953179,16.934593,16.879621,16.857284,16.901768,0.036055
Triple_ItemCFb_MFb_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned_baseline_ru6_ri10+UserCF_tuned,0.40+0.50+0.10,16.885677,16.953584,16.935344,16.877308,16.857204,16.901824,0.036484
Triple_ItemCFb_MF_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned+UserCF_tuned,0.40+0.50+0.10,16.881920,16.951104,16.939024,16.877857,16.859963,16.901974,0.036153
Triple_ItemCFb_MF_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned+UserCF_tuned,0.35+0.50+0.15,16.878691,16.950140,16.941547,16.877556,16.862441,16.902075,0.036296
Triple_ItemCFb_MFb_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned_baseline_ru6_ri10+UserCF_tuned,0.65+0.20+0.15,16.875557,16.958545,16.930492,16.885603,16.860415,16.902122,0.036624
Triple_ItemCFb_MFb_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned_baseline_ru6_ri10+UserCF_tuned,0.55+0.40+0.05,16.887044,16.956739,16.930505,16.880958,16.855536,16.902156,0.036425
Triple_ItemCFb_MFb_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned_baseline_ru6_ri10+UserCF_tuned,0.55+0.20+0.25,16.869125,16.956299,16.935677,16.886202,16.864999,16.902460,0.036826
Triple_ItemCF_MFb_UserCF,ItemCF_tuned+MF_tuned_baseline_ru6_ri10+UserCF_tuned,0.50+0.30+0.20,16.869701,16.953417,16.942095,16.885077,16.862832,16.902624,0.037718
Triple_ItemCF_MFb_UserCF,ItemCF_tuned+MF_tuned_baseline_ru6_ri10+UserCF_tuned,0.40+0.45+0.15,16.878197,16.952244,16.942701,16.881145,16.860783,16.903014,0.037084
Triple_ItemCF_MF_UserCF,ItemCF_tuned+MF_tuned+UserCF_tuned,0.45+0.35+0.20,16.869450,16.951443,16.945424,16.884704,16.864920,16.903188,0.037568
Triple_ItemCFb_MFb_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned_baseline_ru6_ri10+UserCF_tuned,0.60+0.35+0.05,16.886827,16.958809,16.930331,16.883349,16.856822,16.903228,0.036446
Triple_ItemCF_MF_UserCF,ItemCF_tuned+MF_tuned+UserCF_tuned,0.50+0.35+0.15,16.872460,16.952554,16.943745,16.884910,16.862865,16.903307,0.037379
Triple_ItemCF_MF_UserCF,ItemCF_tuned+MF_tuned+UserCF_tuned,0.45+0.40+0.15,16.874097,16.951666,16.945028,16.883830,16.863269,16.903578,0.037187
Triple_ItemCFb_MF_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned+UserCF_tuned,0.65+0.30+0.05,16.883520,16.958953,16.931497,16.885369,16.858885,16.903645,0.036269
Triple_ItemCFb_MFb_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned_baseline_ru6_ri10+UserCF_tuned,0.50+0.45+0.05,16.889929,16.957557,16.933567,16.881357,16.857100,16.903902,0.036477
Triple_ItemCFb_MFb_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned_baseline_ru6_ri10+UserCF_tuned,0.30+0.50+0.20,16.881363,16.954243,16.942866,16.879279,16.864761,16.904502,0.036598
Triple_ItemCF_MFb_UserCF,ItemCF_tuned+MF_tuned_baseline_ru6_ri10+UserCF_tuned,0.35+0.45+0.20,16.876754,16.952999,16.946048,16.882201,16.864672,16.904535,0.037233
Triple_ItemCF_MFb_UserCF,ItemCF_tuned+MF_tuned_baseline_ru6_ri10+UserCF_tuned,0.55+0.30+0.15,16.874514,16.956391,16.942265,16.887081,16.862683,16.904587,0.037603
Triple_ItemCF_MF_UserCF,ItemCF_tuned+MF_tuned+UserCF_tuned,0.40+0.40+0.20,16.872340,16.951894,16.947992,16.884612,16.866662,16.904700,0.037414
Triple_ItemCF_MF_UserCF,ItemCF_tuned+MF_tuned+UserCF_tuned,0.50+0.30+0.20,16.869611,16.954080,16.946057,16.887559,16.866251,16.904711,0.037821
Triple_ItemCFb_MFb_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned_baseline_ru6_ri10+UserCF_tuned,0.30+0.45+0.25,16.876938,16.954366,16.944083,16.881137,16.867360,16.904777,0.036709
Triple_ItemCF_MFb_UserCF,ItemCF_tuned+MF_tuned_baseline_ru6_ri10+UserCF_tuned,0.40+0.35+0.25,16.870670,16.953980,16.946724,16.885868,16.867317,16.904912,0.037695
Triple_ItemCFb_MFb_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned_baseline_ru6_ri10+UserCF_tuned,0.40+0.30+0.30,16.870304,16.956051,16.942962,16.886340,16.869825,16.905096,0.036977
Triple_ItemCF_MFb_UserCF,ItemCF_tuned+MF_tuned_baseline_ru6_ri10+UserCF_tuned,0.50+0.40+0.10,16.881934,16.956558,16.942738,16.885696,16.861393,16.905664,0.037111
Triple_ItemCFb_MF_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned+UserCF_tuned,0.40+0.30+0.30,16.869058,16.955396,16.946002,16.887633,16.872258,16.906069,0.037096
Triple_ItemCF_MFb_UserCF,ItemCF_tuned+MF_tuned_baseline_ru6_ri10+UserCF_tuned,0.45+0.30+0.25,16.870099,16.955876,16.947289,16.888615,16.868545,16.906085,0.037911
Triple_ItemCF_MF_UserCF,ItemCF_tuned+MF_tuned+UserCF_tuned,0.55+0.30+0.15,16.873827,16.956520,16.945598,16.888980,16.865503,16.906085,0.037643
Triple_ItemCFb_MFb_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned_baseline_ru6_ri10+UserCF_tuned,0.45+0.25+0.30,16.870541,16.958187,16.943251,16.889096,16.871209,16.906457,0.037050
Triple_ItemCFb_MFb_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned_baseline_ru6_ri10+UserCF_tuned,0.35+0.35+0.30,16.872929,16.956821,16.945678,16.886359,16.871434,16.906644,0.036958
Triple_ItemCF_MFb_UserCF,ItemCF_tuned+MF_tuned_baseline_ru6_ri10+UserCF_tuned,0.35+0.40+0.25,16.874165,16.955103,16.949226,16.885895,16.869169,16.906711,0.037553
Triple_ItemCFb_MF_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned+UserCF_tuned,0.45+0.25+0.30,16.868942,16.957122,16.945237,16.889662,16.872683,16.906729,0.037150
Triple_ItemCF_MF_UserCF,ItemCF_tuned+MF_tuned+UserCF_tuned,0.40+0.45+0.15,16.878784,16.953898,16.949507,16.885505,16.866848,16.906908,0.037085
Triple_ItemCF_MFb_UserCF,ItemCF_tuned+MF_tuned_baseline_ru6_ri10+UserCF_tuned,0.45+0.45+0.10,16.884913,16.956923,16.944753,16.885545,16.862468,16.906920,0.037010
Triple_ItemCFb_MFb_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned_baseline_ru6_ri10+UserCF_tuned,0.65+0.30+0.05,16.889325,16.963707,16.932812,16.888370,16.860787,16.907000,0.036543
Triple_ItemCFb_MF_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned+UserCF_tuned,0.45+0.50+0.05,16.890369,16.957432,16.941864,16.883643,16.862993,16.907260,0.036103
Triple_ItemCF_MFb_UserCF,ItemCF_tuned+MF_tuned_baseline_ru6_ri10+UserCF_tuned,0.55+0.35+0.10,16.881836,16.959181,16.943788,16.888723,16.863230,16.907351,0.037306
Triple_ItemCFb_MF_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned+UserCF_tuned,0.65+0.15+0.20,16.874999,16.962887,16.938139,16.892349,16.868686,16.907412,0.036875
Triple_ItemCFb_MF_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned+UserCF_tuned,0.70+0.20+0.10,16.882449,16.964254,16.934761,16.891113,16.864659,16.907447,0.036594
Triple_ItemCFb_MF_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned+UserCF_tuned,0.30+0.50+0.20,16.880691,16.954541,16.949428,16.882742,16.870426,16.907566,0.036543
Triple_ItemCF_MFb_UserCF,ItemCF_tuned+MF_tuned_baseline_ru6_ri10+UserCF_tuned,0.55+0.25+0.20,16.873093,16.959599,16.946670,16.891618,16.868221,16.907840,0.038018
Triple_ItemCF_MF_UserCF,ItemCF_tuned+MF_tuned+UserCF_tuned,0.50+0.40+0.10,16.881128,16.956871,16.947464,16.888363,16.865448,16.907855,0.037052
Triple_ItemCFb_MF_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned+UserCF_tuned,0.30+0.45+0.25,16.876711,16.954939,16.950286,16.884615,16.872759,16.907862,0.036767
Triple_ItemCF_MFb_UserCF,ItemCF_tuned+MF_tuned_baseline_ru6_ri10+UserCF_tuned,0.35+0.50+0.15,16.885244,16.956883,16.948964,16.884688,16.866266,16.908409,0.037067
Triple_ItemCF_MF_UserCF,ItemCF_tuned+MF_tuned+UserCF_tuned,0.40+0.35+0.25,16.871716,16.955766,16.952503,16.889820,16.872487,16.908458,0.037866
Triple_ItemCFb_MF_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned+UserCF_tuned,0.35+0.35+0.30,16.872261,16.956795,16.949982,16.888608,16.875056,16.908540,0.037096
Triple_ItemCFb_MFb_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned_baseline_ru6_ri10+UserCF_tuned,0.45+0.50+0.05,16.895672,16.961277,16.939627,16.884545,16.861684,16.908561,0.036563
Triple_ItemCF_MF_UserCF,ItemCF_tuned+MF_tuned+UserCF_tuned,0.45+0.30+0.25,16.870623,16.957074,16.951850,16.891678,16.872562,16.908757,0.038072
Triple_ItemCFb_MFb_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned_baseline_ru6_ri10+UserCF_tuned,0.65+0.15+0.20,16.877523,16.964962,16.938483,16.893488,16.869353,16.908762,0.036889
Triple_ItemCF_MF_UserCF,ItemCF_tuned+MF_tuned+UserCF_tuned,0.55+0.35+0.10,16.880729,16.959098,16.947466,16.890657,16.866299,16.908850,0.037278
Triple_ItemCF_MF_UserCF,ItemCF_tuned+MF_tuned+UserCF_tuned,0.55+0.25+0.20,16.872735,16.959873,16.949621,16.893401,16.870726,16.909271,0.038108
Triple_ItemCF_MF_UserCF,ItemCF_tuned+MF_tuned+UserCF_tuned,0.35+0.45+0.20,16.878281,16.955455,16.953755,16.887435,16.871638,16.909313,0.037323
Triple_ItemCFb_MF_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned+UserCF_tuned,0.60+0.15+0.25,16.873775,16.963722,16.942718,16.894857,16.873070,16.909629,0.037044
Triple_ItemCF_MF_UserCF,ItemCF_tuned+MF_tuned+UserCF_tuned,0.45+0.45+0.10,16.884560,16.957774,16.950658,16.889056,16.867630,16.909936,0.036923
