name,status,rmse,train_seconds,predict_seconds,memory_mb,error
Baseline_ru6_ri10,ok,17.44156458985067,0.40558907499962515,0.0023398550001729745,0.7468833923339844,
Baseline_ru6_ri12,ok,17.480421598522366,0.4029016529998444,0.0035956870001427887,0.7468833923339844,
Baseline_ru6_ri15,ok,17.53462238788685,0.44239887000003364,0.004127564000100392,0.7468833923339844,
Baseline_ru6_ri18,ok,17.5838773764122,0.4668565909996687,0.006316135999895778,0.7468833923339844,
Baseline_ru8_ri10,ok,17.447586039464014,0.4221956129999853,0.004339096999956382,0.7468833923339844,
Baseline_ru8_ri12,ok,17.486257551698177,0.4197947969996676,0.0029610859996864747,0.7468833923339844,
Baseline_ru8_ri15,ok,17.54019430793977,0.42249361599988333,0.0046455659999082854,0.7468833923339844,
Baseline_ru8_ri18,ok,17.589235351435054,0.3972823789999893,0.0047977780000110215,0.7468833923339844,
Baseline_ru10_ri10,ok,17.45423342530491,0.40031027999975777,0.005598750000444852,0.7468833923339844,
Baseline_ru10_ri12,ok,17.49274336692117,0.40615856400017947,0.002867259999675298,0.7468833923339844,
Baseline_ru10_ri15,ok,17.54644712405064,0.41391747200032114,0.005512215000180731,0.7468833923339844,
Baseline_ru10_ri18,ok,17.595293415290847,0.47798564200002147,0.005197219999899971,0.7468833923339844,
Baseline_ru12_ri10,ok,17.46126708399388,0.4043365200000153,0.004694410000411153,0.7468833923339844,
Baseline_ru12_ri12,ok,17.499620363364713,0.4006827919997704,0.005338469999969675,0.7468833923339844,
Baseline_ru12_ri15,ok,17.553124017942103,0.4790920880000158,0.006311071000254742,0.7468833923339844,
Baseline_ru12_ri18,ok,17.601801528768014,0.378688522000175,0.0026776509998853726,0.7468833923339844,
ItemCF_k40_n200_sh50_mc2,ok,17.162894748220197,3.887913602000026,0.6366258949997246,97.4746322631836,
ItemCF_k40_n200_sh80_mc2,ok,17.14820236311739,4.281451491000098,0.6839349459996811,97.4746322631836,
ItemCF_k40_n200_sh120_mc2,ok,17.14349331995159,3.9339782200004265,0.6487573239996891,97.4746322631836,
ItemCF_k40_n240_sh50_mc2,ok,17.12419199361625,3.8689830399998755,0.6897788430001128,105.7497444152832,
ItemCF_k40_n240_sh80_mc2,ok,17.114017163364014,4.144354004999968,0.6758595680003054,105.7497444152832,
ItemCF_k40_n240_sh120_mc2,ok,17.109582319431244,4.383487811000123,0.6977613209996889,105.7497444152832,
ItemCF_k40_n320_sh50_mc2,ok,17.095161724162075,4.161540382000112,0.8575601570000799,121.3513412475586,
ItemCF_k40_n320_sh80_mc2,ok,17.09318002925287,4.387670034000166,0.8868583710000166,121.3513412475586,
ItemCF_k40_n320_sh120_mc2,ok,17.085363694378238,4.319020081999952,0.8146977769997648,121.3513412475586,
ItemCF_k60_n200_sh50_mc2,ok,17.17008129302804,4.494594366999991,0.6729820159998781,97.4746322631836,
ItemCF_k60_n200_sh80_mc2,ok,17.15801442371595,4.635290394000094,0.711016225000094,97.4746322631836,
