name,fold_1_rmse,fold_2_rmse,fold_3_rmse,fold_4_rmse,fold_5_rmse,mean_rmse,std_rmse,avg_train_seconds,avg_predict_seconds,avg_memory_mb,n_factors,n_epochs,learning_rate,reg,reg_bias,init_std,init_with_baseline,freeze_bias
current_2d_ep12_lr002_reg02,17.188039022480353,17.38371169839779,17.283735762255787,17.192205103666954,17.17396253874148,17.24433082510847,0.07977133635037745,8.984380955600319,0.023990868799774034,0.8837905883789062,2,12,0.002,0.2,0.05,0.01,True,True
2d_ep16_lr002_reg02,17.277617616279347,17.416446930317974,17.344102532307982,17.23639224222164,17.219381548341076,17.298788173893605,0.07286128055748999,11.626508638999985,0.01679748379992816,0.8837905883789062,2,16,0.002,0.2,0.05,0.01,True,True
2d_ep12_lr0015_reg02,17.278465567762535,17.52534846700528,17.442583942741056,17.366251050086607,17.328261536058434,17.38818211273078,0.08704405219271756,8.296916419399713,0.0229846598000222,0.8837905883789062,2,12,0.0015,0.2,0.05,0.01,True,True
2d_ep12_lr0025_reg02,17.257119308108805,17.39853354433961,17.333151004474093,17.207261184148624,17.19813065755541,17.27883913972531,0.07666230240818274,8.313567783999861,0.0163029182001992,0.8837905883789062,2,12,0.0025,0.2,0.05,0.01,True,True
2d_ep12_lr002_reg01,17.225903129006806,17.395233364303692,17.31925355871949,17.23258072216547,17.212792485905243,17.277152652020142,0.06995847694268267,8.057249671600221,0.019754372600073112,0.8837905883789062,2,12,0.002,0.1,0.05,0.01,True,True
2d_ep12_lr002_reg03,17.17869542103314,17.414087698265973,17.278995553458472,17.19123355315855,17.168551396740042,17.246312724531236,0.09259508417803128,8.10566642599988,0.018614831600098115,0.8837905883789062,2,12,0.002,0.3,0.05,0.01,True,True
3d_ep12_lr002_reg02,17.191338328345818,17.23906073728353,17.29560519794054,17.15218843922276,17.20585202513794,17.216808945586116,0.048267189497241625,8.397214939399964,0.022673306400247385,0.9181884765625,3,12,0.002,0.2,0.05,0.01,True,True
4d_ep12_lr002_reg02,17.17516938455181,17.22062130311437,17.227823553385733,17.154366847904114,17.18866416533184,17.193329050857574,0.027583783765847594,9.942010522399688,0.027769632400122646,0.9525863647460937,4,12,0.002,0.2,0.05,0.01,True,True
