name,fold_1_rmse,fold_2_rmse,fold_3_rmse,fold_4_rmse,fold_5_rmse,mean_rmse,std_rmse,avg_train_seconds,avg_predict_seconds,avg_memory_mb,n_factors,n_epochs,learning_rate,reg,reg_bias,init_std,init_with_baseline,freeze_bias,seed
mf_residual_1d_lr003_reg02,17.18620125921766,17.262667356526208,17.347285432624002,17.262620419023015,17.566258308563118,17.3250065551908,0.1309533296645646,9.450667716599947,0.018889776400010307,0.8493927001953125,1,12,0.003,0.2,0.05,0.01,True,True,2026
mf_residual_1d_lr003_reg01,17.20460100893248,17.27413022627385,17.39379647635711,17.289285010848026,17.40381148167906,17.313124840818105,0.07562845913381848,10.27676239400007,0.02617770559991186,0.8493927001953125,1,12,0.003,0.1,0.05,0.01,True,True,2026
mf_residual_1d_lr002_reg02,17.230859019841926,17.313934940233686,17.447558305022497,17.340632559063884,17.452213261679603,17.35703961716832,0.08402428616933205,10.714643197199985,0.028283527199891977,0.8493927001953125,1,12,0.002,0.2,0.05,0.01,True,True,2026
mf_residual_1d_lr004_reg02,17.19725233065577,17.269453638445224,17.369198739134447,17.282826763942754,17.665873071386187,17.356920908712876,0.16385158187606602,11.091449081800056,0.029255025800011936,0.8493927001953125,1,12,0.004,0.2,0.05,0.01,True,True,2026
mf_residual_2d_lr002_reg02,17.188039022480353,17.38371169839779,17.283735762255787,17.192205103666954,17.17396253874148,17.24433082510847,0.07977133635037745,10.246884008600318,0.020165569199889433,0.8837905883789062,2,12,0.002,0.2,0.05,0.01,True,True,2026
