itemcf_weight,fold_1_rmse,fold_2_rmse,fold_3_rmse,fold_4_rmse,fold_5_rmse,mean_rmse,std_rmse,avg_train_seconds,avg_predict_seconds,avg_memory_bytes,avg_memory_mb
0.0,17.17516938455181,17.22062130311437,17.227823553385733,17.154366847904114,17.18866416533184,17.193329050857574,0.027583783765847594,21.180098894399976,0.8006389619999936,103230771.2,98.44853515625
0.1,17.091396141220553,17.146983070034537,17.146856941783135,17.080527540803327,17.104778716622167,17.114108482092742,0.027870323693669645,21.180098894399976,0.8006389619999936,103230771.2,98.44853515625
0.2,17.02383729712273,17.088624437769504,17.08167045494609,17.02168562433955,17.036231803657437,17.050409923567063,0.028878292346539994,21.180098894399976,0.8006389619999936,103230771.2,98.44853515625
0.3,16.97262317384725,17.045611259649117,17.032502378154394,16.97823199524113,16.982969410035988,17.00238764338558,0.030402845339505116,21.180098894399976,0.8006389619999936,103230771.2,98.44853515625
0.4,16.93807031789984,17.0182920652352,16.999728526660693,16.950402658192225,16.945556204023998,16.970409954402392,0.03229900343880834,21.180098894399976,0.8006389619999936,103230771.2,98.44853515625
0.5,16.91905108805041,17.006850024340366,16.983440175538878,16.93775074598879,16.924596316209083,16.954337670025506,0.03466791088647798,21.180098894399976,0.8006389619999936,103230771.2,98.44853515625
0.6,16.91659138488949,17.01118460187564,16.98370983258697,16.940348672470876,16.91938667828903,16.9542442340224,0.03724593900116841,21.180098894399976,0.8006389619999936,103230771.2,98.44853515625
0.7,16.930731926562956,17.031475832281256,17.00057993215864,16.958380777213566,16.930204851668893,16.97027466397706,0.039936636724469655,21.180098894399976,0.8006389619999936,103230771.2,98.44853515625
0.8,16.96155896759844,17.066816318468476,17.03389005813306,16.991905993728654,16.957490694546255,17.00233240649498,0.042275342253924326,21.180098894399976,0.8006389619999936,103230771.2,98.44853515625
0.9,17.00830650153149,17.116911786022403,17.083521732246957,17.040388130146113,17.001139114894716,17.050053452968335,0.044314786032088445,21.180098894399976,0.8006389619999936,103230771.2,98.44853515625
1.0,17.071172167571582,17.18041788150107,17.148940868035734,17.101886956349738,17.060634577717007,17.112610490235028,0.045719498920434615,21.180098894399976,0.8006389619999936,103230771.2,98.44853515625
