config,memory_mb,model,n_factors,predict_seconds,rmse,train_seconds
n_factors_5,0.988037109375,MatrixFactorization,5,0.015703931000189186,18.854515681854842,19.434826833999978
n_factors_10,1.1602897644042969,MatrixFactorization,10,0.02360146499995608,20.26641839590974,18.97719721600015
n_factors_20,1.5047950744628906,MatrixFactorization,20,0.01743655200016292,20.916104023236255,19.821867899000154
n_factors_40,2.193805694580078,MatrixFactorization,40,0.015465961000245443,20.534986556945256,20.113512999999784
n_factors_80,3.571826934814453,MatrixFactorization,80,0.02581377100023019,36.53547554984646,19.70307174399977
