seed,fold,model,rmse,train_s,predict_s,memory_mb
2027,5,MF_tuned,17.121723,20.3920,0.0551,2.4622
2027,5,UserCF_tuned,17.661598,4.3162,1.8804,10.0259
2027,5,Ensemble_triple_tuned,17.002280,34.0200,3.2906,31.3294
2028,1,ItemCF_tuned_baseline,16.923619,10.9379,1.5002,18.9021
2028,1,MF_tuned,16.876659,23.2324,0.0666,2.4567
2028,1,UserCF_tuned,17.497316,3.9999,2.1652,10.0250
2028,1,Ensemble_triple_tuned,16.747037,38.1702,3.7320,31.3837
2028,2,ItemCF_tuned_baseline,17.123228,10.7874,1.3466,18.7858
2028,2,MF_tuned,17.071483,20.5757,0.0736,2.4639
2028,2,UserCF_tuned,17.640732,4.2846,1.9033,10.0323
2028,2,Ensemble_triple_tuned,16.944243,35.6476,3.3235,31.2820
2028,3,ItemCF_tuned_baseline,17.117891,9.1135,1.3701,18.8057
2028,3,MF_tuned,17.003203,20.5119,0.0540,2.4704
2028,3,UserCF_tuned,17.552183,3.7877,1.6751,10.0367
2028,3,Ensemble_triple_tuned,16.894425,33.4131,3.0992,31.3127
2028,4,ItemCF_tuned_baseline,17.157316,9.2444,1.3381,18.8632
2028,4,MF_tuned,17.043852,25.9438,0.1113,2.4704
2028,4,UserCF_tuned,17.605976,3.7273,2.2646,10.0446
2028,4,Ensemble_triple_tuned,16.945218,38.9155,3.7140,31.3781
2028,5,ItemCF_tuned_baseline,17.019328,11.2751,1.6235,18.8056
2028,5,MF_tuned,16.936830,27.6367,0.0712,2.4632
2028,5,UserCF_tuned,17.419726,4.5211,1.8680,10.0361
2028,5,Ensemble_triple_tuned,16.806444,43.4328,3.5627,31.3049
